City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,viqueque,-8.8673,126.3658,77.04,85,99,2.89,TL,1684881858
83,rabaul,-4.1967,152.1721,83.1,74,87,17.54,PG,1684881858
84,dellys,36.9172,3.9131,64.26,90,77,8.93,DZ,1684881858
85,vadso,70.0744,29.7487,47.28,100,75,6.91,NO,1684881640
86,massawa,15.6097,39.45,87.01,67,17,6.6,ER,1684881859
87,mpumalanga,-26.0,30.0,46.53,86,1,5.06,ZA,1684881859
88,coquimbo,-29.9533,-71.3436,62.33,82,0,2.3,CL,1684881746
89,bryne,58.7354,5.6477,48.24,90,75,10.36,NO,1684881859
90,trondheim,63.4305,10.3951,48.29,86,28,1.01,NO,1684881859
91,bengkulu,-3.8004,102.2655,75.54,85,5,3.69,ID,1684881859
92,kulunda,52.566,78.9385,51.76,48,0,7.54,RU,1684881859
93,buulobarde,3.8538,45.5674,77.11,86,83,10.42,SO,1684881859
94,arish,31.1316,33.7984,72.46,56,0,8.57,EG,1684881859
95,tual,-5.6667,132.75,81.88,78,74,24.94,ID,1684881859
96,itoman,26.1247,127.6694,73.42,67,20,8.05,JP,1684881859
97,portland,45.5234,-122.6762,70.45,45,75,4.61,US,1684881589
98,villa gesell,-37.2639,-56.973,63.05,88,99,11.39,AR,1684881860
99,zaozersk,69.4005,32.4476,46.85,88,52,5.48,RU,1684881677
100,hotan,37.0997,79.9269,68.68,26,23,7.27,CN,1684881860
101,prado,-17.3411,-39.2208,72.12,85,98,5.1,BR,1684881860
102,kaluga,54.5,35.5,54.3,99,100,2.51,RU,1684881860
103,yaren,-0.5472,166.916,77.54,92,100,13.24,NR,1684881860
104,kununurra,-15.7667,128.7333,53.58,76,2,2.3,AU,1684881860
105,metlili chaamba,32.2667,3.6333,70.74,26,3,4.61,DZ,1684881860
106,bredasdorp,-34.5322,20.0403,53.42,91,88,3.44,ZA,1684881860
107,riosucio,5.4216,-75.7032,61.65,98,100,1.32,CO,1684881860
108,ilhabela,-23.7781,-45.3581,68.52,85,0,3.49,BR,1684881860
109,petropavlovsk-kamchatsky,53.0452,158.6483,42.78,70,75,2.24,RU,1684881860
110,hamilton,39.1834,-84.5333,81.25,46,40,8.05,US,1684881604
111,tumaco,1.7986,-78.8156,79.48,85,97,5.37,CO,1684881861
112,kyren,51.6828,102.1408,47.68,74,21,2.01,RU,1684881861
113,enewetak,11.3474,162.3373,83.25,72,100,15.61,MH,1684881650
114,as sulayyil,20.4607,45.5779,79.05,38,87,16.42,SA,1684881861
115,west island,-12.1568,96.8225,80.58,83,19,2.3,CC,1684881861
116,mabaruma,8.2,-59.7833,77.07,89,28,3.78,GY,1684881861
117,chui,-33.6971,-53.4616,64.44,87,92,6.29,UY,1684881861
118,jamestown,42.097,-79.2353,73.04,37,20,8.05,US,1684881782
119,ornskoldsvik,63.2909,18.7153,54.55,76,79,10.36,SE,1684881862
120,tebingtinggi,3.3285,99.1625,76.14,90,100,1.99,ID,1684881862
121,igarka,67.4667,86.5833,31.41,84,79,16.46,RU,1684881862
122,canmore,51.0834,-115.3521,61.81,44,83,8.05,CA,1684881701
123,pontalina,-17.525,-49.4472,66.31,57,0,3.42,BR,1684881862
124,la mira,18.035,-102.3266,87.15,59,40,10.58,MX,1684881862
125,narrabri,-30.3167,149.7833,57.74,31,24,1.92,AU,1684881862
126,az zarqa,32.0728,36.088,67.39,42,0,4.61,JO,1684881862
127,thompson,55.7435,-97.8558,55.56,38,40,9.22,CA,1684881862
128,raja,8.4596,25.678,75.27,65,54,4.0,SS,1684881862
129,hithadhoo,-0.6,73.0833,82.24,73,11,5.88,MV,1684881862
130,vishnyeva,54.7122,26.5225,52.05,76,16,3.02,BY,1684881863
131,yemetsk,63.4721,41.7941,57.74,88,89,5.3,RU,1684881863
132,carutapera,-1.195,-46.02,77.04,93,77,5.23,BR,1684881863
133,wietze,52.65,9.8333,49.08,78,20,6.91,DE,1684881863
134,georgetown,5.4112,100.3354,82.35,78,20,3.44,MY,1684881733
135,bullsbrook,-31.6667,116.0,62.55,94,75,3.44,AU,1684881863
136,namibe,-15.1961,12.1522,69.75,76,36,8.68,AO,1684881863
137,taoudenni,22.6783,-3.9836,85.71,18,94,10.98,ML,1684881863
138,lebu,-37.6167,-73.65,53.67,75,33,17.87,CL,1684881630
139,la'ie,21.6477,-157.9253,84.16,69,39,7.0,US,1684881863
140,miandrivazo,-19.5167,45.4667,68.41,85,85,1.32,MG,1684881864
141,lata,40.1629,-8.3327,65.07,81,64,2.39,PT,1684881864
142,fada,9.5667,8.3,73.2,87,94,0.76,NG,1684881864
143,adre,13.4667,22.2,85.75,24,13,3.36,TD,1684881864
144,forster,-32.1667,152.5167,57.0,47,35,2.86,AU,1684881864
145,daru,-9.0763,143.2092,79.66,79,73,16.84,PG,1684881864
146,tsiombe,-25.3,45.4833,61.07,66,1,1.81,MG,1684881864
147,tandil,-37.3217,-59.1332,59.68,89,99,5.86,AR,1684881799
148,ishikawa,26.4233,127.8214,73.36,89,0,6.91,JP,1684881864
149,pemba,-12.974,40.5178,74.23,79,2,10.63,MZ,1684881864
150,porto novo,6.4965,2.6036,84.02,86,89,5.41,BJ,1684881864
151,el charco,2.4769,-78.1105,86.02,92,100,2.68,CO,1684881864
152,eureka,40.8021,-124.1637,71.67,67,2,13.0,US,1684881607
153,bel ombre,-4.6167,55.4167,82.24,74,20,8.05,SC,1684881865
154,chifeng,42.2683,118.9636,69.53,21,100,12.93,CN,1684881674
155,iskateley,67.6803,53.1512,56.3,68,73,8.72,RU,1684881865
156,moyale,3.5167,39.0584,67.78,84,96,3.91,KE,1684881865
157,hadibu,12.65,54.0333,84.16,72,28,6.49,YE,1684881865
158,eirunepe,-6.6603,-69.8736,76.6,95,100,1.95,BR,1684881865
159,north bend,43.4065,-124.2243,65.25,66,0,23.02,US,1684881865
160,alofi,-19.0595,-169.9187,80.49,61,40,6.91,NU,1684881865
161,severo-yeniseyskiy,60.3725,93.0408,31.01,83,99,12.93,RU,1684881865
162,kegen,43.0197,79.2203,43.27,72,99,2.73,KZ,1684881865
163,bako,5.7833,36.5667,63.34,88,82,4.65,ET,1684881865
164,sabang,5.8933,95.3214,83.57,75,66,7.23,ID,1684881866
165,malanje,-9.5402,16.341,65.98,55,56,1.59,AO,1684881866
166,chilly-mazarin,48.7149,2.3164,54.57,71,0,13.8,FR,1684881866
167,tiksi,71.6872,128.8694,22.35,84,25,3.09,RU,1684881639
168,burao,9.5221,45.5336,71.06,73,100,8.63,SO,1684881866
169,ape,57.5393,26.6929,55.96,65,93,2.86,LV,1684881866
170,morondava,-20.2833,44.2833,70.16,70,2,11.83,MG,1684881866
171,tchintabaraden,15.8969,5.7985,89.2,35,62,4.92,NE,1684881866
